 -----------------------------------------------------------------------
A-Z LIST OF THE UK TOP 500 -----------------------------------------------------------------------
A                                     RANK -----------------------------------------------------------------------
Ocean Group                            208
Owners Abroad Group                    432
Oxford Instruments Group               416 -----------------------------------------------------------------------
P                                     RANK -----------------------------------------------------------------------
P & O Steam Navigation                  48
Park Food Group                        434
Paterson Zochonis                      338
Pearson                                 53
Peel Holdings                          242
Pendragon                              480
Pentland Group                         256
Perkins Foods                          468
Perpetual                              342
Persimmon Group                        283
Photo-Me International                 349
Pilkington                             123
Plysu                                  460
Polypipe                               321
Portals Holdings                       260
Powell Duffryn                         237
Powergen                                43
Powerscreen International              257
Premier Consolidated Oilfields         451
Property Security Invest. Tst          353
Proteus International                  431
Provident Financial                    194
Prudential Corporation                  24 -----------------------------------------------------------------------
R                                     RANK -----------------------------------------------------------------------
Racal Electronics                      182
Raine Industries                       377
Rank Organisation                       57
Readicut International                 359
Reckitt & Colman                        62
Redland                                 54
Reed International                      36
Refuge Group                           196
Renishaw                               421
Rentokil Group                          71
Reuters Holdings                        23
RJB Mining                             461
RMC Group                               95
Rolls-Royce                             83
Rothmans International                  39
Rotork                                 406
Royal Bank of Scotland Group            58
Royal Insurance Holdings                73
RPC Group                              477
RTZ Corporation                         21
Rugby Group                            162 -----------------------------------------------------------------------
S                                     RANK -----------------------------------------------------------------------
Saatchi & Saatchi                      245
Sage Group                             498
Sainsbury J                             19
Salvesen (Christian)                   134
Savoy Hotel                            264
Scapa Group                            209
Scholl                                 413
Schroders                               90
Scottish & Newcastle                    75
Scottish Hydro-Electric                102
Scottish Metropolitan Property         479
Scottish Power                          49
Scottish Television                    323
Sears                                   87
Securicor Group                        192
Security Services                      175
Sedgwick Group                         153
Seeboard                               165
Sema Group                             267
Senior Engineering Group               287
Serco                                  418
Severn Trent                            79
Shanks & McEwan Group                  265
Sheffield Insulation Group             398
Shell Transport & Trading                2
Sherwood Group                         376
Sidlaw Group                           373
Siebe                                   70
Silentnight Holdings                   374
Singer & Friedlander Group             396
Slough Estates                         142
Smith & Nephew                          99
Smith (David S) Holdings               195
Smith (WH) Group                     121
Smith New Court                        381
Smithkline Beecham                      11
Smiths Industries                      131
South Staffordshire Water              472
South Wales Electricity                190
South West Water                       174
South Western Electricity              176
Southern Electric                       96
Southern Water                         148
Spirax-Sarco Engineering               291
Spring Ram Corporation                 322
St Ives                                274
St James's Place Capital               226
Stagecoach Holdings                    351
Stakis                                 314
Standard Chartered                      64
Stanley Leisure                        474
Staveley Industries                    297
Storehouse                             151
Sun Alliance Group                      50
Suter                                  360 -----------------------------------------------------------------------
T                                     RANK -----------------------------------------------------------------------
T & N                                  157
T & S Stores                           483
Takare                                 337
Tarmac                                 109
Tate & Lyle                            108
Taunton Cider                          329
Taylor Woodrow                         210
Telemetrix                             364
Tesco                                   38
Thames Water                            69
The Telegraph                          204
Thorn Emi                               35
Thorntons                              475
TI Group                                92
Tibbett & Britten Group                276
Tilbury Douglas                        344
Time Products                          452
Tiphook                                286
Tomkins                                 56
Town Centre Securities                 425
Trade Indemnity Group                  495
Trafalgar House                        126
Transatlantic Holdings                 141
Transfer Technology Group              490
Transport Development Group            235
Travis Perkins                         288
Trinity                                459
Trinity International Holdings         293
Triplex Lloyd                          469
TSB Group                               44
TT Group                               275 -----------------------------------------------------------------------
U                                     RANK -----------------------------------------------------------------------
UniChem                                239
Unigate                                154
Unilever                                15
Unitech                                346
United Biscuits (Holdings)              82
United Friendly Group                  201
United Newspapers                      110 -----------------------------------------------------------------------
V                                     RANK -----------------------------------------------------------------------
Vaux Group                             250
Vickers                                203
Victaulic                              427
Vinten Group                           365
Vodafone                                29
Volex Group                            441
Vosper Thornycroft                     334
VSEL Consortium                        254 -----------------------------------------------------------------------
W                                     RANK -----------------------------------------------------------------------
Wace Group                             419
Waddington (John)                      343
Wagon Industrial Holdings              350
Warburg SG Group                      86
Wardle Storeys                         458
Warner Estate Holdings                 437
Wassall                                234
Wates City of London Prop              446
Watmoughs                              308
Watson & Philip                        448
Weir Group                             213
Wellcome                                25
Welsh Water                            158
Wessex Water                           145
Westbury                               465
Westland                               332
Westminster Health                     369
Wetherspoon                            489
Whatman                                463
Whitbread                               60
Wickes                                 227
Williams Holdings                       93
Willis Corroon Group                   150
Wilson (Connolly) Holdings             240
Wilson Bowden                          244
Wimpey (George)                        189
Wolseley                                85
Wolverhampton & Dudley Brews           271
WPP Group                              199 -----------------------------------------------------------------------
Y-Z                                   RANK -----------------------------------------------------------------------
Yorkshire Chemicals                    368
Yorkshire Electricity                  119
Yorkshire Water                        132
Yorkshire-Tynes TV Holdings            450
Yule Catto                             336
Zeneca                                  22 -----------------------------------------------------------------------
